"Age","Preferred.Tour.Duration","Accessibility","Site.Name","Tour.Duration","Tourist.Rating","System.Response.Time","Recommendation.Accuracy","VR.Experience.Quality","Satisfaction"
48,5,"False","Eiffel Tower",7,1.6,3.73,97,4.5,3
37,6,"False","Colosseum",1,2.6,2.89,90,4.5,3
43,6,"True","Machu Picchu",2,1.7,2.22,94,4.7,3
46,8,"False","Colosseum",5,2,2.34,92,4.7,3
53,5,"True","Colosseum",7,3.7,2,96,4.8,4
50,4,"False","Machu Picchu",4,2.2,3.74,99,4.5,3
61,7,"False","Eiffel Tower",6,4.1,4.66,93,4.5,4
23,5,"False","Eiffel Tower",2,2.8,4.84,91,4.9,3
34,5,"True","Colosseum",6,4,1.54,95,4.4,4
61,5,"False","Colosseum",6,3.8,3.59,95,4.7,4
27,4,"False","Eiffel Tower",6,3.2,4.48,99,4.2,3
37,3,"True","Eiffel Tower",5,1.7,2.63,100,4.6,3
45,8,"True","Eiffel Tower",6,1.8,3.47,100,4.5,3
61,8,"True","Colosseum",1,4.3,3.48,91,4.4,4
60,4,"True","Eiffel Tower",6,2.9,2.82,94,4.2,3
50,7,"False","Eiffel Tower",8,1.2,4.44,91,4.2,3
59,7,"True","Taj Mahal",3,2.1,2.12,95,4.3,3
18,6,"True","Machu Picchu",6,2.7,3.63,100,4.4,3
24,5,"False","Taj Mahal",6,2.6,2.63,86,4.7,3
63,8,"False","Colosseum",2,2.7,4.79,92,4.8,3
45,6,"True","Machu Picchu",2,2.8,2.75,94,4.7,3
62,7,"True","Colosseum",5,3.3,2.65,96,4,3
65,8,"True","Great Wall of China",3,4.2,1.97,88,5,4
53,6,"True","Taj Mahal",6,3,4.02,97,4.4,3
26,8,"True","Taj Mahal",3,2.4,3.42,90,4.7,3
63,3,"False","Colosseum",6,1,4.09,93,4.3,3
24,3,"True","Taj Mahal",4,2,4.62,87,4.5,3
20,5,"False","Eiffel Tower",4,2.2,1.61,95,4.5,3
36,7,"True","Great Wall of China",8,4.1,4.57,91,4.6,4
49,6,"True","Eiffel Tower",2,4.4,2.18,95,4.9,4
61,7,"False","Taj Mahal",4,4.8,4.94,95,4.7,5
54,6,"False","Great Wall of China",2,1.9,2.18,94,4.3,3
29,8,"True","Eiffel Tower",4,1.4,2.36,87,4.1,3
44,5,"True","Colosseum",1,4.9,4.43,88,4.2,5
35,3,"True","Colosseum",7,3.2,4.77,94,4.7,3
60,7,"False","Eiffel Tower",4,4.5,1.73,96,4.5,5
33,6,"True","Colosseum",4,1.7,2.05,85,4.2,3
63,4,"False","Great Wall of China",2,4.5,3.6,97,4.6,5
47,3,"True","Great Wall of China",3,1.8,3.1,96,4.2,3
23,7,"False","Taj Mahal",8,2.6,3.72,89,4.8,3
68,4,"False","Eiffel Tower",2,3.6,3.28,98,4.8,4
39,5,"True","Machu Picchu",6,3.4,2.8,96,4.3,3
56,5,"False","Eiffel Tower",3,2.6,4.56,87,4.6,3
29,7,"False","Great Wall of China",5,3.5,3.65,91,4.1,4
54,4,"True","Colosseum",5,2,3.54,87,4.7,3
67,7,"False","Machu Picchu",6,3.6,1.79,93,4.3,4
31,5,"True","Machu Picchu",6,4.7,2.39,97,4.2,5
55,8,"False","Machu Picchu",3,3,2.58,97,4.9,3
49,6,"False","Eiffel Tower",2,1.8,3.09,100,4,3
